Tm_C,GC_percent
77.852,51.19
86.283,52.82
87.247,56.27
86.166,53.15
84.715,53.87
84.083,48.91
86.146,52.97
85.380,51.68
85.856,53.91
85.330,52.73
84.857,50.98
83.278,48.89
85.615,51.38
86.888,55.08
82.576,50.95
85.366,51.33
83.648,47.56
81.436,41.00
78.899,36.55
79.683,39.14
77.659,32.28
81.445,46.59
86.120,53.50
87.511,55.73
85.403,53.33
86.087,55.33
86.824,55.21
86.970,55.63
85.776,52.92
86.222,53.44
87.596,55.87
76.421,35.62
82.039,45.96
86.374,55.16
86.158,53.94
85.229,50.64
85.856,52.46
86.370,53.81
85.726,51.88
85.402,52.14
87.121,55.94
86.867,54.86
85.903,56.94
86.278,53.38
86.098,54.80
87.425,55.82
84.848,51.44
81.990,48.72
81.500,45.71
87.044,55.95
84.374,51.85
85.876,53.16
87.244,56.16
86.421,53.77
85.662,51.34
85.728,52.82
81.155,41.83
86.055,54.09
87.220,55.01
87.397,55.57
86.433,54.89
87.256,55.62
88.269,57.97
85.822,52.90
86.313,54.38
87.279,56.94
88.659,58.97
85.922,52.95
81.411,43.16
87.131,55.21
85.233,52.31
87.245,55.67
86.772,54.85
86.249,53.12
76.463,47.13
82.972,45.82
86.138,52.75
83.778,49.39
75.521,44.83
86.707,54.83
84.867,52.29
86.686,54.88
83.780,50.55
86.515,53.65
87.536,56.32
86.849,54.75
86.045,53.09
87.020,55.20
86.027,52.85
87.225,55.99
86.832,54.61
85.357,51.68
86.043,53.55
85.791,52.26
86.558,54.25
85.156,51.20
85.962,54.58
86.044,52.18
83.040,48.37
82.819,52.02
85.044,51.34
85.402,52.66
85.146,50.96
85.742,52.20
86.570,54.04
85.217,53.29
86.113,53.58
85.811,53.99
85.450,52.05
85.939,52.52
86.742,55.42
86.409,53.08
86.960,54.68
85.948,52.49
86.650,53.94
87.476,55.70
84.388,52.07
82.926,46.04
85.118,51.21
83.282,50.16
86.670,54.16
87.253,55.21
84.258,50.28
84.475,50.23
84.384,49.30
84.923,50.97
83.544,49.21
84.551,49.27
84.651,52.49
84.076,48.61
86.340,54.23
86.227,54.09
82.169,43.60
83.113,47.21
82.392,45.38
83.834,49.18
84.691,48.90
83.793,48.35
82.655,46.06
84.045,50.10
87.293,55.79
86.242,53.83
84.819,52.19
84.181,49.36
86.484,55.74
87.889,56.75
87.147,54.91
85.775,51.65
87.329,56.77
86.506,54.55
89.205,60.11
87.162,55.58
86.626,54.15
83.859,51.01
85.698,53.37
85.555,52.43
85.578,52.79
84.037,47.76
86.494,53.82
85.950,52.76
81.378,44.44
85.849,53.09
86.444,53.16
84.474,49.81
85.035,51.38
84.512,49.77
85.656,52.89
84.558,50.90
85.915,52.63
84.376,49.67
85.080,51.21
85.250,50.85
85.333,50.51
84.011,50.00
85.941,52.92
84.189,50.66
85.974,53.49
86.329,53.70
86.982,56.62
87.237,54.95
85.893,52.92
85.487,50.98
84.405,51.79
88.391,58.56
81.950,47.89
82.348,50.75
85.850,54.68
85.603,54.50
85.402,52.32
84.259,49.21
86.856,54.51
86.300,54.52
85.201,53.58
84.020,48.65
85.246,52.14
85.541,51.94
84.299,50.17
83.082,46.39
84.640,49.95
85.481,52.31
84.126,49.03
85.733,52.02
80.602,40.48
84.154,49.24
84.221,50.64
84.959,51.15
81.409,42.32
74.223,28.28
77.340,34.00
78.329,35.51
73.495,28.38
76.990,32.92
86.521,53.90
87.931,56.65
90.169,63.84
89.165,59.78
85.752,53.02
87.140,55.48
84.778,51.62
87.738,56.99
86.802,54.94
86.420,53.38
84.760,52.42
85.593,51.65
82.127,49.33
84.257,50.50
85.719,53.95
87.382,55.60
89.855,61.26
79.508,38.64
81.435,41.78
87.729,56.62
71.502,25.73
73.991,28.41
79.739,37.60
86.519,54.86
83.844,49.89
87.698,56.28
84.624,50.95
85.642,52.73
84.185,49.26
78.808,40.23
81.793,47.51
85.428,52.20
88.499,58.51
85.564,52.99
86.353,53.88
79.478,41.16
80.882,43.11
81.879,45.77
83.563,51.69
86.221,55.29
85.584,51.58
84.599,51.63
86.257,53.41
83.721,50.00
82.742,45.08
87.165,55.80
86.791,54.70
82.823,50.41
79.359,39.49
82.904,46.22
79.084,42.79
83.244,50.34
83.803,48.18
83.988,49.33
81.848,45.05
83.409,49.15
84.147,49.91
81.720,43.15
78.431,35.22
82.682,48.02
82.817,45.09
77.931,35.73
76.347,30.58
76.471,31.81
82.552,49.08
84.697,51.27
84.531,50.07
85.406,56.32
85.366,52.87
82.175,49.55
85.594,55.56
86.024,52.23
77.047,31.35
84.650,50.00
84.325,49.65
76.588,34.41
86.037,53.38
86.292,53.73
87.927,57.62
88.786,59.98
88.999,59.53
89.215,61.02
86.383,54.78
82.336,45.20
85.690,53.02
85.613,51.52
87.194,55.03
86.444,55.01
85.437,52.89
79.740,39.23
79.963,45.31
77.850,43.26
81.260,46.07
84.328,51.71
